iter	Passed	Remaining
0	0	76
1	1	68
2	2	64
3	2	60
4	3	59
5	3	57
6	4	58
7	4	57
8	5	56
9	6	55
10	6	54
11	7	54
12	8	53
13	8	53
14	9	52
15	9	52
16	10	51
17	11	51
18	11	50
19	12	50
20	13	50
21	13	49
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	46
28	18	45
29	19	45
30	19	44
31	20	43
32	21	43
33	22	42
34	22	42
35	23	41
36	24	41
37	24	40
38	25	40
39	26	39
40	26	38
41	27	37
42	27	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	37	27
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
